[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-runtime-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-stdio-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-stdio-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-string-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-string-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-time-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-time-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/api-ms-win-crt-utility-l1-1-0.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\api-ms-win-crt-utility-l1-1-0.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/ucrtbase.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\ucrtbase.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/monomscordbi.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\monomscordbi.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/dbgshim.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\dbgshim.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/MCppEE.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\MCppEE.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/netstandard.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\netstandard.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/Microsoft.Win32.Registry.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\Microsoft.Win32.Registry.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/System.Buffers.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\System.Buffers.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/System.Memory.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\System.Memory.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/System.Numerics.Vectors.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\System.Numerics.Vectors.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/System.Runtime.CompilerServices.Unsafe.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\System.Runtime.CompilerServices.Unsafe.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Processing file /Contents/Common7/IDE/Remote Debugger/x86/System.Runtime.InteropServices.RuntimeInformation.dll
[bd94:0009][2026-05-10T01:00:52] D:\Program\Common7\IDE\Remote Debugger\x86\System.Runtime.InteropServices.RuntimeInformation.dll file deleted.
[bd94:0009][2026-05-10T01:00:52] Started: Deleting empty directories
[bd94:0009][2026-05-10T01:00:52] Completed: Deleting empty directories
[bd94:0009][2026-05-10T01:00:52] Package executed successfully. Return code: 0
